"","Region","Ethnicity","Religion","Highest.education.qualification","Frequency.of.all.media.combined","Working.status","Welth.index","Right","Wrong","Total"
"1","Central","Burger","Roman Catholic","Passed Grade 6-10","At least once a week","Yes","Second",1,0,1
"2","Central","Indian Tamil","Hindu","Degree and above","At least once a week","Yes","Highest",1,0,1
"3","Central","Indian Tamil","Hindu","Degree and above","At least once a week","Yes","Second",1,0,1
"4","Central","Indian Tamil","Hindu","Degree and above","Less than once a week","Yes","Highest",1,0,1
"5","Central","Indian Tamil","Hindu","No education","At least once a week","No","Lowest",2,0,2
"6","Central","Indian Tamil","Hindu","No education","At least once a week","Yes","Lowest",1,0,1
"7","Central","Indian Tamil","Hindu","No education","At least once a week","Yes","Second",1,0,1
"8","Central","Indian Tamil","Hindu","No education","Not at all","No","Lowest",1,0,1
"9","Central","Indian Tamil","Hindu","No education","Not at all","Yes","Second",1,0,1
"10","Central","Indian Tamil","Hindu","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Fourth",1,0,1
"11","Central","Indian Tamil","Hindu","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Lowest",2,0,2
"12","Central","Indian Tamil","Hindu","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Middle",1,0,1
"13","Central","Indian Tamil","Hindu","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Second",3,0,3
"14","Central","Indian Tamil","Hindu","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Fourth",2,0,2
"15","Central","Indian Tamil","Hindu","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Highest",0,1,1
"16","Central","Indian Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Fourth",2,0,2
"17","Central","Indian Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Lowest",3,0,3
"18","Central","Indian Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Middle",2,2,4
"19","Central","Indian Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Second",2,1,3
"20","Central","Indian Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Lowest",2,0,2
"21","Central","Indian Tamil","Hindu","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Middle",2,0,2
"22","Central","Indian Tamil","Hindu","Passed Grade 1-5","At least once a week","No","Fourth",0,1,1
"23","Central","Indian Tamil","Hindu","Passed Grade 1-5","At least once a week","No","Lowest",7,0,7
"24","Central","Indian Tamil","Hindu","Passed Grade 1-5","At least once a week","No","Second",4,0,4
"25","Central","Indian Tamil","Hindu","Passed Grade 1-5","At least once a week","Yes","Lowest",3,0,3
"26","Central","Indian Tamil","Hindu","Passed Grade 1-5","At least once a week","Yes","Middle",1,0,1
"27","Central","Indian Tamil","Hindu","Passed Grade 1-5","At least once a week","Yes","Second",1,0,1
"28","Central","Indian Tamil","Hindu","Passed Grade 1-5","Less than once a week","Yes","Lowest",2,0,2
"29","Central","Indian Tamil","Hindu","Passed Grade 1-5","Not at all","Yes","Lowest",0,1,1
"30","Central","Indian Tamil","Hindu","Passed Grade 6-10","At least once a week","No","Fourth",4,1,5
"31","Central","Indian Tamil","Hindu","Passed Grade 6-10","At least once a week","No","Highest",1,0,1
"32","Central","Indian Tamil","Hindu","Passed Grade 6-10","At least once a week","No","Lowest",13,3,16
"33","Central","Indian Tamil","Hindu","Passed Grade 6-10","At least once a week","No","Middle",3,0,3
"34","Central","Indian Tamil","Hindu","Passed Grade 6-10","At least once a week","No","Second",3,1,4
"35","Central","Indian Tamil","Hindu","Passed Grade 6-10","At least once a week","Yes","Lowest",4,6,10
"36","Central","Indian Tamil","Hindu","Passed Grade 6-10","At least once a week","Yes","Middle",1,0,1
"37","Central","Indian Tamil","Hindu","Passed Grade 6-10","At least once a week","Yes","Second",3,2,5
"38","Central","Indian Tamil","Hindu","Passed Grade 6-10","Less than once a week","Yes","Lowest",1,0,1
"39","Central","Indian Tamil","Hindu","Passed Grade 6-10","Not at all","No","Lowest",1,1,2
"40","Central","Indian Tamil","Other Christian","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Fourth",1,0,1
"41","Central","Indian Tamil","Other Christian","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Highest",1,0,1
"42","Central","Indian Tamil","Other Christian","Passed Grade 6-10","At least once a week","No","Lowest",2,0,2
"43","Central","Indian Tamil","Other Christian","Passed Grade 6-10","At least once a week","Yes","Lowest",1,0,1
"44","Central","Indian Tamil","Roman Catholic","No education","Not at all","No","Lowest",1,0,1
"45","Central","Indian Tamil","Roman Catholic","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Second",0,1,1
"46","Central","Indian Tamil","Roman Catholic","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Lowest",1,0,1
"47","Central","Indian Tamil","Roman Catholic","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Middle",1,0,1
"48","Central","Indian Tamil","Roman Catholic","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Second",1,0,1
"49","Central","Indian Tamil","Roman Catholic","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Second",1,0,1
"50","Central","Indian Tamil","Roman Catholic","Passed Grade 6-10","At least once a week","No","Lowest",1,1,2
"51","Central","Indian Tamil","Roman Catholic","Passed Grade 6-10","At least once a week","Yes","Lowest",1,0,1
"52","Central","Indian Tamil","Roman Catholic","Passed Grade 6-10","Less than once a week","No","Highest",1,0,1
"53","Central","Sinhala","Buddhist","Degree and above","At least once a week","No","Fourth",4,0,4
"54","Central","Sinhala","Buddhist","Degree and above","At least once a week","No","Highest",5,0,5
"55","Central","Sinhala","Buddhist","Degree and above","At least once a week","No","Middle",1,1,2
"56","Central","Sinhala","Buddhist","Degree and above","At least once a week","Yes","Fourth",9,2,11
"57","Central","Sinhala","Buddhist","Degree and above","At least once a week","Yes","Highest",52,3,55
"58","Central","Sinhala","Buddhist","Degree and above","At least once a week","Yes","Middle",8,1,9
"59","Central","Sinhala","Buddhist","Degree and above","Less than once a week","Yes","Highest",1,0,1
"60","Central","Sinhala","Buddhist","Degree and above","Less than once a week","Yes","Second",1,0,1
"61","Central","Sinhala","Buddhist","No education","At least once a week","No","Second",1,0,1
"62","Central","Sinhala","Buddhist","No education","At least once a week","Yes","Lowest",1,0,1
"63","Central","Sinhala","Buddhist","No education","At least once a week","Yes","Middle",2,0,2
"64","Central","Sinhala","Buddhist","No education","At least once a week","Yes","Second",1,0,1
"65","Central","Sinhala","Buddhist","No education","Less than once a week","Yes","Middle",1,0,1
"66","Central","Sinhala","Buddhist","No education","Not at all","Yes","Lowest",1,0,1
"67","Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Fourth",46,3,49
"68","Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Highest",56,4,60
"69","Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Lowest",6,0,6
"70","Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Middle",35,2,37
"71","Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","No","Second",13,2,15
"72","Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Fourth",26,5,31
"73","Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Highest",54,3,57
"74","Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Lowest",1,0,1
"75","Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Middle",19,1,20
"76","Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","At least once a week","Yes","Second",4,0,4
"77","Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","No","Fourth",3,0,3
"78","Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","No","Highest",2,0,2
"79","Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","No","Lowest",1,0,1
"80","Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","No","Second",1,0,1
"81","Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","Yes","Fourth",2,1,3
"82","Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","Yes","Highest",2,0,2
"83","Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Less than once a week","Yes","Middle",1,0,1
"84","Central","Sinhala","Buddhist","Passed G.C.E.(A/L) or equivalent","Not at all","Yes","Highest",1,0,1
"85","Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Fourth",30,6,36
"86","Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Highest",28,5,33
"87","Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Lowest",8,0,8
"88","Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Middle",49,7,56
"89","Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","No","Second",25,3,28
"90","Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Fourth",14,2,16
"91","Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Highest",15,4,19
"92","Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Lowest",4,1,5
"93","Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Middle",13,1,14
"94","Central","Sinhala","Buddhist","Passed G.C.E.(O/L) or equivalent","At least once a week","Yes","Second",11,3,14
